store_id,name,store_type,status,latitude,longitude,address_street,address_city,address_state,address_postal_code,address_country,phone,services,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun
S0029,New Orleans Store,regular,active,29.9214,-90.2199,339 Broadway St,New Orleans,LA,70112,USA,497-201-2740,pickup|pharmacy|returns|garden_center|automotive,09:00-22:00,09:00-24:00,08:00-20:00,09:00-24:00,07:00-22:00,08:00-20:00,08:00-20:00
S0030,Baton Rouge Store,regular,active,30.4991,-91.1995,717 Market St,Baton Rouge,LA,70801,USA,699-861-4253,returns|automotive|gift_wrapping|photo_printing|pharmacy,08:00-23:00,10:00-21:00,07:00-22:00,07:00-21:00,06:00-21:00,closed,07:00-24:00
S0031,Salt Lake City Store,regular,active,40.7186,-111.8571,794 Market St,Salt Lake City,UT,84101,USA,648-588-8408,photo_printing|garden_center|returns,08:00-22:00,09:00-24:00,06:00-22:00,06:00-20:00,09:00-24:00,10:00-20:00,10:00-24:00
S0032,Salt Lake City Store,regular,active,40.7613,-111.899,90 Elm St,Salt Lake City,UT,84101,USA,428-333-6946,garden_center|optical|returns|gift_wrapping,09:00-20:00,08:00-21:00,09:00-20:00,08:00-21:00,09:00-21:00,10:00-23:00,07:00-20:00
S0033,Aurora Store,regular,inactive,41.7863,-88.2469,841 Second St,Aurora,IL,60505,USA,453-492-3580,pharmacy|gift_wrapping|photo_printing|automotive|returns,06:00-20:00,06:00-20:00,09:00-20:00,08:00-24:00,08:00-23:00,08:00-21:00,07:00-23:00
S0034,Chicago Store,regular,active,41.9002,-87.5835,985 Elm St,Chicago,IL,60601,USA,349-891-9946,optical|gift_wrapping|garden_center,08:00-24:00,06:00-22:00,07:00-24:00,09:00-21:00,07:00-24:00,07:00-24:00,06:00-21:00
S0035,Richmond Store,flagship,active,37.5631,-77.4388,230 Washington St,Richmond,VA,23219,USA,969-833-5274,optical|pharmacy,07:00-20:00,10:00-22:00,08:00-23:00,09:00-23:00,09:00-24:00,06:00-24:00,07:00-21:00
S0036,Richmond Store,regular,active,37.543,-77.4038,816 Park St,Richmond,VA,23219,USA,605-241-4829,pharmacy|returns|garden_center|pickup,08:00-21:00,10:00-22:00,10:00-21:00,10:00-21:00,10:00-22:00,closed,07:00-24:00
S0037,Jersey City Store,regular,active,40.6915,-74.0421,52 Washington St,Jersey City,NJ,07302,USA,867-841-1360,returns|automotive|optical|photo_printing|gift_wrapping,closed,06:00-22:00,10:00-21:00,06:00-22:00,07:00-21:00,06:00-20:00,07:00-22:00
S0038,Jersey City Store,regular,active,40.7532,-74.0898,504 Main St,Jersey City,NJ,07302,USA,486-762-5196,returns|garden_center|pharmacy|photo_printing|automotive,07:00-21:00,07:00-21:00,09:00-24:00,09:00-20:00,06:00-20:00,10:00-20:00,07:00-22:00
S0039,Indianapolis Store,regular,active,39.8142,-86.1628,183 Market St,Indianapolis,IN,46204,USA,965-758-1611,returns|photo_printing,10:00-23:00,07:00-23:00,09:00-24:00,06:00-20:00,08:00-21:00,10:00-20:00,08:00-21:00
S0040,Indianapolis Store,regular,active,39.7909,-86.157,582 Third St,Indianapolis,IN,46204,USA,555-893-2226,automotive|photo_printing,08:00-20:00,closed,09:00-22:00,06:00-20:00,09:00-24:00,06:00-20:00,closed
S0041,Raleigh Store,flagship,active,35.7881,-78.6277,625 Broadway St,Raleigh,NC,27601,USA,951-929-4281,automotive|photo_printing|pharmacy,07:00-22:00,07:00-20:00,09:00-22:00,09:00-21:00,10:00-20:00,10:00-24:00,10:00-23:00
S0042,Charlotte Store,regular,active,35.2674,-80.8828,983 Oak St,Charlotte,NC,28202,USA,483-959-3242,automotive|gift_wrapping|photo_printing|pickup|optical,10:00-22:00,07:00-21:00,06:00-20:00,06:00-22:00,06:00-22:00,09:00-20:00,06:00-23:00
S0043,Grand Rapids Store,regular,active,42.9199,-85.681,844 Oak St,Grand Rapids,MI,49503,USA,808-417-2236,returns|gift_wrapping|automotive,10:00-21:00,10:00-23:00,10:00-23:00,07:00-20:00,06:00-22:00,07:00-24:00,08:00-21:00
S0044,Detroit Store,regular,active,42.3543,-83.0947,738 Washington St,Detroit,MI,48201,USA,992-944-7460,pickup|automotive|returns,06:00-20:00,06:00-20:00,09:00-22:00,09:00-21:00,08:00-22:00,07:00-24:00,07:00-24:00
S0045,Seattle Store,regular,active,47.6103,-122.3148,905 Second St,Seattle,WA,98101,USA,267-559-7451,pharmacy|returns|pickup|photo_printing,09:00-22:00,09:00-22:00,06:00-24:00,09:00-23:00,06:00-21:00,10:00-21:00,08:00-23:00
S0046,Kansas City Store,regular,active,39.0824,-94.6071,514 Park St,Kansas City,MO,64105,USA,875-728-8893,automotive|pharmacy|gift_wrapping|garden_center|optical,06:00-24:00,07:00-24:00,08:00-20:00,06:00-21:00,06:00-23:00,06:00-22:00,10:00-20:00
S0047,Reno Store,regular,active,39.5615,-119.7661,934 Washington St,Reno,NV,89501,USA,308-814-6809,pickup|gift_wrapping,06:00-22:00,07:00-21:00,09:00-20:00,09:00-20:00,09:00-22:00,06:00-21:00,09:00-21:00
S0048,St. Paul Store,outlet,active,44.9852,-93.0406,381 Elm St,St. Paul,MN,55101,USA,761-528-3527,gift_wrapping|optical|automotive|photo_printing,09:00-23:00,09:00-24:00,07:00-21:00,06:00-21:00,07:00-24:00,09:00-20:00,06:00-24:00
S0049,Memphis Store,express,active,35.147,-90.095,758 Second St,Memphis,TN,38103,USA,205-430-4324,photo_printing|pharmacy|returns|gift_wrapping,09:00-23:00,06:00-24:00,09:00-24:00,10:00-23:00,06:00-24:00,09:00-22:00,06:00-21:00
S0050,Atlanta Store,regular,active,33.7471,-84.3409,898 Elm St,Atlanta,GA,30303,USA,909-402-3817,gift_wrapping|pickup|photo_printing|garden_center|pharmacy,10:00-24:00,10:00-23:00,10:00-24:00,08:00-22:00,09:00-23:00,06:00-21:00,10:00-23:00
